CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
26041212231000123000011515S9,METALURGICA DE COBRE DE NACOZARI,0 a 5 personas,Sonora,Nacozari de García,Metalúrgica de Cobre de Nacozari de Garcia,313,2020-04,212231,Minería de cobre,30.49175555,-109.64131889
26041212231000133000011515S8,OFICINA DE SERVICIOS,0 a 5 personas,Sonora,Nacozari de García,El Abanico,351,2020-04,212231,Minería de cobre,30.35906827,-109.5797189
26041212231000143000011515S7,OFICINA DE SERVICIOS,0 a 5 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-04,212231,Minería de cobre,30.36220447,-109.62474927
26041212231000153000011515S6,GIMNASIO COLONIA EL TAJO,0 a 5 personas,Sonora,Nacozari de García,El Tajo [Colonia],313,2020-04,212231,Minería de cobre,30.51228775,-109.63841524
26041212231000163000011515S5,COMEDOR,0 a 5 personas,Sonora,Nacozari de García,El Tajo [Colonia],313,2020-04,212231,Minería de cobre,30.5121993,-109.63888016
26041212231000173000011515S4,TALLER MEXICANA DE COBRE,0 a 5 personas,Sonora,Nacozari de García,El Tajo [Colonia],313,2020-04,212231,Minería de cobre,30.5124514,-109.64356647
26041212231000183000011515S3,OFICINA DE MEXICANA DEL COBRE,0 a 5 personas,Sonora,Nacozari de García,El Tajo [Colonia],313,2020-04,212231,Minería de cobre,30.51173149,-109.64134575
26041212231000193000011515S2,CLUB MINERO,0 a 5 personas,Sonora,Nacozari de García,El Tajo [Colonia],313,2020-04,212231,Minería de cobre,30.51262174,-109.63833808
26041212231000204000011515S7,CARPINTERIA EL RANCHITO,31 a 50 personas,Sonora,Nacozari de García,El Ranchito,351,2020-11,212231,Minería de cobre,30.35036722,-109.57046669
26041212231000214000011515S6,CENTRO EDUCACIONAL LA CARIDAD SECUNDARIA 42.8602,31 a 50 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-11,212231,Minería de cobre,30.363168,-109.62129852
26041212231000224000011515S5,JARDIN DE NIÑOS CENTRO EDUCACIONAL LA CARIDAD I,31 a 50 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-11,212231,Minería de cobre,30.36479032,-109.62611595
26041212231000234000011515S4,ESCUELA PRIMARIA CENTRO EDUCACIONAL LA CARIDAD A.C. CLAVE 26PR0278V,31 a 50 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-11,212231,Minería de cobre,30.36303386,-109.61888407
26041212231000244000011515S3,EDUCACION INFANTIL LOCALIDAD ABANICO,31 a 50 personas,Sonora,Nacozari de García,El Abanico,351,2020-11,212231,Minería de cobre,30.35930076,-109.58096337
